bibtex,Authors,Title,Venue,Year,Abbr venue,Abstract,Paper Summary,Definitions of reproducibility or replicability etc?,"Notes, e.g. findings, important points, etc. not made in abstract",Reproducible / Replicable according to authors? ,Links,Type of paper (Short / Long),
"@inproceedings{huber-coltekin-2020-reproduction,
    title = ""Reproduction and Replication: A Case Study with Automatic Essay Scoring"",
    author = {Huber, Eva  and
      {\c{C}}{\""o}ltekin, {\c{C}}a{\u{g}}r{\i}},
    booktitle = ""Proceedings of The 12th Language Resources and Evaluation Conference"",
    month = may,
    year = ""2020"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://www.aclweb.org/anthology/2020.lrec-1.688"",
    pages = ""5603--5613"",
    language = ""English"",
    ISBN = ""979-10-95546-34-4"",
}
","Huber, Eva  and
      {\c{C}}{\""o}ltekin, {\c{C}}a{\u{g}}r{\i}",Reproduction and Replication: A Case Study with Automatic Essay Scoring,Proceedings of The 12th Language Resources and Evaluation Conference,2020,LREC,"As in many experimental sciences, reproducibility of experiments has gained ever more attention in the NLP community. This paper presents our reproduction efforts of an earlier study of automatic essay scoring (AES) for determining the proficiency of second language learners in a multilingual setting. We present three sets of experiments with different objectives. First, as prescribed by the LREC 2020 REPROLANG shared task, we rerun the original AES system using the code published by the original authors on the same dataset. Second, we repeat the same experiments on the same data with a different implementation. And third, we test the original system on a different dataset and a different language. Most of our findings are in line with the findings of the original paper. Nevertheless, there are some discrepancies between our results and the results presented in the original paper. We report and discuss these differences in detail. We further go into some points related to confirmation of research findings through reproduction, including the choice of the dataset, reporting and accounting for variability, use of appropriate evaluation metrics, and making code and data available. We also discuss the varying uses and differences between the terms reproduction and replication, and we argue that reproduction, the confirmation of conclusions through independent experiments in varied settings is more valuable than exact replication of the published values.","1. one sentence summary of what paper is about
Reproduction of the automatic essay scoring system of Vajjala and Rama (2018). Part of REPROLANG.
2. paper's central goal/question/hypothesis
Is the system of Vajjala and Rama replicable and reproducible? Can their findings be confirmed on other datasets?
3. methodology
Three methods for recreation: running same code, reimplementing, testing on another language (English). For reimplementation, parameters were optimised, rathern than using libraries' defaults like in the original paper. For testing on English, used the CLC corpus with 12 classes (was also reduced to 5 and 3 in the experiments), which is less heterogeneous than the initial dataset. 
4. reported results
Reproduced scores differ from the original ones, but mostly confirm initial findings. The tuned model yielded better scores.  Some conclusions are not the same, such as the importance of some features, and multilingual transfer. Testing on the CLC gave much lower results due to the different nature of the corpus.
5. paper's conclusions and/or main contributions
Tune your machine learning models. Test on different datasets.
",yes (the whole backround section on repro* terms),"""The overemphasis on exact replication of published  values  may  even  have  unintended  effects,  such  as encouraging researchers to ‘hide’ the natural variation that is expected in the task.""","according to the authors, mostly yes.

AS: High deviations in scores. 46 reproduced scores with deviations from -17 to 22 in F1.",,Long,
"@inproceedings{ballier-etal-2020-learnability,
    title = ""The Learnability of the Annotated Input in {NMT} Replicating (Vanmassenhove and Way, 2018) with {O}pen{NMT}"",
    author = ""Ballier, Nicolas  and
      Amari, Nabil  and
      Merat, Laure  and
      Yun{\`e}s, Jean-Baptiste"",
    booktitle = ""Proceedings of The 12th Language Resources and Evaluation Conference"",
    month = may,
    year = ""2020"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://www.aclweb.org/anthology/2020.lrec-1.691"",
    pages = ""5631--5640"",
    abstract = ""In this paper, we reproduce some of the experiments related to neural network training for Machine Translation as reported in (Vanmassenhove and Way, 2018). They annotated a sample from the EN-FR and EN-DE Europarl aligned corpora with syntactic and semantic annotations to train neural networks with the Nematus Neural Machine Translation (NMT) toolkit. Following the original publication, we obtained lower BLEU scores than the authors of the original paper, but on a more limited set of annotations. In the second half of the paper, we try to analyze the difference in the results obtained and suggest some methods to improve the results. We discuss the Byte Pair Encoding (BPE) used in the pre-processing phase and suggest feature ablation in relation to the granularity of syntactic and semantic annotations. The learnability of the annotated input is discussed in relation to existing resources for the target languages. We also discuss the feature representation likely to have been adopted for combining features."",
    language = ""English"",
    ISBN = ""979-10-95546-34-4"",
}","Ballier, Nicolas  and
      Amari, Nabil  and
      Merat, Laure  and
      Yun{\`e}s, Jean-Baptiste","The Learnability of the Annotated Input in {NMT} Replicating (Vanmassenhove and Way, 2018) with {O}pen{NMT}",Proceedings of The 12th Language Resources and Evaluation Conference,2020,LREC,"In this paper, we reproduce some of the experiments related to neural network training for Machine Translation as reported in (Vanmassenhove and Way, 2018). They annotated a sample from the EN-FR and EN-DE Europarl aligned corpora with syntactic and semantic annotations to train neural networks with the Nematus Neural Machine Translation (NMT) toolkit. Following the original publication, we obtained lower BLEU scores than the authors of the original paper, but on a more limited set of annotations. In the second half of the paper, we try to analyze the difference in the results obtained and suggest some methods to improve the results. We discuss the Byte Pair Encoding (BPE) used in the pre-processing phase and suggest feature ablation in relation to the granularity of syntactic and semantic annotations. The learnability of the annotated input is discussed in relation to existing resources for the target languages. We also discuss the feature representation likely to have been adopted for combining features.","1. one sentence summary of what paper is about
Reproduced Vanmassenhove and Way, 2018---the MT system with semantic and syntactic features, and outlined ways to improve the system.
2. paper's central goal/question/hypothesis
Is the method of Vanmassenhove and Way, 2018 reproducible? What improvements would make the system perform better?
3. methodology
Reimplemented the code (original was not available). Had to reannotate the data with CCG and wordnet tags. Introduced additional feature ablation studies.
4. reported results
Rated recreation 4/5 (5 being the most difficult); after the author sent some missing data, the rating went down to 2/5. For the recreated baseline, BLEU is ~11.5 against 21-22 in the original paper.
5. paper's conclusions and/or main contributions
Describe the recreation process of Vanmassenhave and Way, 2018; propose suggestions for improving their MT system.
",no,"The replication was only partial: two scores were reproduced. Not clear: for suggested ablations, didn't run any experiments?

Described their reproducibility effort in terms of the FAIR paradigm (was not very clear for me).",hard to reproduce; BLEU scores lower than reported (-10 points),,,
"@inproceedings{millour-etal-2020-repliquer,
    title = ""R{\'e}pliquer et {\'e}tendre pour l{'}alsacien {``}{\'E}tiquetage en parties du discours de langues peu dot{\'e}es par sp{\'e}cialisation des plongements lexicaux{''} (Replicating and extending for {A}lsatian : {``}{POS} tagging for low-resource languages by adapting word embeddings{''})"",
    author = {Millour, Alice  and
      Fort, Kar{\""e}n  and
      Magistry, Pierre},
    booktitle = ""Actes de la 6e conf{\'e}rence conjointe Journ{\'e}es d'{\'E}tudes sur la Parole (JEP, 33e {\'e}dition), Traitement Automatique des Langues Naturelles (TALN, 27e {\'e}dition), Rencontre des {\'E}tudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (R{\'E}CITAL, 22e {\'e}dition). 2e atelier {\'E}thique et TRaitemeNt Automatique des Langues (ETeRNAL)"",
    month = ""6"",
    year = ""2020"",
    address = ""Nancy, France"",
    publisher = ""ATALA et AFCP"",
    url = ""https://www.aclweb.org/anthology/2020.jeptalnrecital-eternal.4"",
    pages = ""29--37"",
    language = ""French"",
}
","Millour, Alice  and
      Fort, Kar{\""e}n  and
      Magistry, Pierre",R{\'e}pliquer et {\'e}tendre pour l{'}alsacien {``}{\'E}tiquetage en parties du discours de langues peu dot{\'e}es par sp{\'e}cialisation des plongements lexicaux{''} (Replicating and extending for {A}lsatian : {``}{POS} tagging for low-resource languages by adapting word embeddings{''}),"Actes de la 6e conf{\'e}rence conjointe Journ{\'e}es d'{\'E}tudes sur la Parole (JEP, 33e {\'e}dition), Traitement Automatique des Langues Naturelles (TALN, 27e {\'e}dition), Rencontre des {\'E}tudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (R{\'E}CITAL, 22e {\'e}dition). 2e atelier {\'E}thique et TRaitemeNt Automatique des Langues (ETeRNAL)",2020,WS,"We present here the results of our efforts in replicating and extending for Alsatian an experiment concerning the POS tagging of low-resourced languages by adapting word embeddings (Magistry et al., 2018). This work was performed in close collaboration with the authors of the original article. This rich interaction allowed us to identify the missing elements in the presentation of the experiment, to add them and to extend the experiment to robustness to variation.","1. one sentence summary of what paper is about
This short paper describes the authors' attempt to get a version of the POS tagger for Alstian reported by Magistry et al. to work with the same accuracy as reported in the earlier paper
2. paper's central goal/question/hypothesis
Can the the earlier POS tagger be recreated with the same accuracy?
3. methodology
In collaboration with the authors of the orginal paper, try to recreate the tagger as faithfully as possible, using resources provided by the original authors and recreating some where necessary.
4. reported results
Found the documentation of what was done in the original work very incomplete and did not manage to reproduce the very high 0.91 acc result from the earlier paper (highest attempt yielded 0.87). 
5. paper's conclusions and/or main contributions
Precise documentation about implementations and system and dataset versions is crucial for reproduction attempts.
","* One result (0.78) on the smallest version of the corpus is described as being reproduced but it's not clear what it was compared to as original paper does not have that number in it.
* this is in French, as is the original paper",,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,5,Left to review,,,,
,,,,,,,,10,AB,,,,
,,,,,,,,8,AS,,,,
,,,,,,,,12,SA,,,,
